DATE,TIME,GOALS,EMPTY,VS,RESULT,SOG,SA,PP,PK
04.10.2025,17:30,7:2, ,BUC,W,0,0,0/2,1/1
11.10.2025,11:30,7:0, ,@ BUC,W,0,0,1/6,6/6
19.10.2025,17:30,14:0, ,SGTBW,W,0,0,3/5,6/6
25.10.2025,17:15,5:2, ,SON,W,0,0,0/5,5/5
07.11.2025,20:00,3:1, ,@ PFR,W,0,0,1/3,2/2
16.11.2025,16:45,5:3, ,@ FFB,W,0,0,2/5,5/5
23.11.2025,17:30,6:2, ,SON,W,0,0,0/5,4/4
07.12.2025,16:30,0:0, ,@ SGTBW,, , , , 
14.12.2025,11:45,0:0, ,@ SON,, , , , 
21.12.2025,17:30,0:0, ,SGUB,, , , , 
09.01.2026,19:30,0:0, ,SGTBW,, , , , 
11.01.2026,17:30,0:0, ,@ SON,, , , , 
18.01.2026,18:00,0:0, ,@ SGUB,, , , , 
25.01.2026,16:45,0:0, ,@ EVK,, , , , 
01.02.2026,17:30,0:0, ,PFR,, , , , 
07.02.2026,18:00,0:0, ,@ SGTBW,, , , , 
21.02.2026,20:00,0:0, ,@ PFR,, , , , 
27.02.2026,19:30,0:0, ,EVK,, , , , 
28.02.2026,17:15,0:0, ,FFB,, , , , 
07.03.2026,17:15,0:0, ,PFR,, , , , 
