DATE,TIME,GOALS,EMPTY,VS,RESULT,SOG,SA,PP,PK
03.10.2025,14:00,12:4, ,SON,W,0,0,1/2,3/4
12.10.2025,10:30,7:2, ,@ EVK,W,0,0,3/8,1/3
18.10.2025,17:15,8:6, ,RBM2,W,0,0,1/2,1/1
01.11.2025,16:40,8:4, ,@ PEMI,W,0,0,2/3,2/2
09.11.2025,17:30,5:1, ,MEM,W,0,0,0/1,2/3
15.11.2025,15:00,11:3, ,@ EAS,W,0,0,2/7,2/3
22.11.2025,17:15,14:1, ,ERCL,W,0,0,1/2,4/4
29.11.2025,11:00,0:0, ,@ KEM,, , , , 
06.12.2025,17:15,0:0, ,AIB,, , , , 
13.12.2025,16:00,0:0, ,@ AIB,, , , , 
22.12.2025,17:00,0:0, ,@ MEM,, , , , 
06.01.2026,09:30,0:0, ,PEMI,, , , , 
10.01.2026,11:45,0:0, ,@ SON,, , , , 
24.01.2026,10:00,0:0, ,EAS,, , , , 
31.01.2026,17:15,0:0, ,EVK,, , , , 
08.02.2026,09:30,0:0, ,KEM,, , , , 
14.02.2026,16:30,0:0, ,@ ERCL,, , , , 
01.03.2026,15:15,0:0, ,@ RBM2,, , , , 
14.03.2026,17:15,0:0, ,SGGZ,, , , , 
15.03.2026,09:30,0:0, ,@ SGGZ,, , , , 
